ownerid,rating,ratedaily,vehiclemake,vehiclemodel,vehicletype,vehicleyear
320877,4.95,27,Scion,xB,car,2006
45460,4.86,79,Jeep,Wrangler,suv,2011
1803853,4.86,58,FIAT,500,car,2016
950349,4.78,55,Lexus,IS 250,car,2012
4158797,5,109,Chevrolet,Corvette Stingray,car,2014
5207578,4.91,100,Tesla,Model 3,car,2017
67096,4.9,60,Mazda,3,car,2012
1582843,4.91,46,Chevrolet,Cruze,car,2017
637495,4.7,30,Mazda,6,car,2016
117750,4.99,85,BMW,Z4,car,2011
912177,4.85,65,Jeep,Wrangler,suv,2006
821919,4.97,159,Porsche,Boxster,car,2013
1582843,4.9,42,Hyundai,Elantra,car,2017
507900,4.63,39,Nissan,Versa Note,car,2015
1582843,4.78,38,Nissan,Versa,car,2017
3484421,4.86,110,Porsche,Boxster,car,2013
1427288,4.95,172,Porsche,911,car,2014
1723655,4.84,54,BMW,X3,suv,2008
1347938,4.83,129,Chevrolet,Corvette,car,2017
124207,4.94,89,Tesla,Model 3,car,2018
950349,4.84,46,Toyota,Camry,car,2014
950349,4.78,41,Nissan,Sentra,car,2014
495552,4.97,52,Chevrolet,Cruze,car,2014
1582843,4.83,40,Toyota,Corolla,car,2017
464342,4.84,139,Chevrolet,Corvette,car,2017
3484421,4.92,69,Chevrolet,Camaro,car,2017
1582843,4.83,45,Mitsubishi,Mirage G4,car,2017
663789,4.77,34,Mazda,6,car,2006
1006943,5,59,Lexus,CT 200h,car,2014
464342,4.92,119,BMW,M4,car,2015
595685,4.85,60,Chevrolet,Camaro,car,2018
311958,4.95,35,Toyota,Camry,car,2017
950349,4.78,41,Toyota,Corolla,car,2013
6359397,4.77,47,Honda,Civic,car,2012
168282,4.97,69,BMW,3 Series,car,2017
3689861,4.87,26,Mitsubishi,Mirage,car,2017
1370302,4.88,99,Dodge,Challenger,car,2017
1427288,4.96,109,Porsche,Boxster,car,2013
1582843,4.85,40,Ford,Fiesta,car,2016
3689861,4.86,40,Toyota,Corolla,car,2014
