renter_id,id,ownerid,rating,ratedaily,vehiclemake,vehiclemodel,vehicletype,vehicleyear
1,1,320877,4.95,27,Scion,xB,car,2006
2,2,45460,4.86,79,Jeep,Wrangler,suv,2011
3,3,1803853,4.86,58,FIAT,500,car,2016
4,4,950349,4.78,55,Lexus,IS 250,car,2012
5,5,4158797,5.0,109,Chevrolet,Corvette Stingray,car,2014
6,6,5207578,4.91,100,Tesla,Model 3,car,2017
7,7,67096,4.9,60,Mazda,3,car,2012
8,8,1582843,4.91,46,Chevrolet,Cruze,car,2017
9,9,637495,4.7,30,Mazda,6,car,2016
10,10,117750,4.99,85,BMW,Z4,car,2011
11,11,912177,4.85,65,Jeep,Wrangler,suv,2006
12,12,821919,4.97,159,Porsche,Boxster,car,2013
13,13,1582843,4.9,42,Hyundai,Elantra,car,2017
14,14,507900,4.63,39,Nissan,Versa Note,car,2015
15,15,1582843,4.78,38,Nissan,Versa,car,2017
16,16,3484421,4.86,110,Porsche,Boxster,car,2013
17,17,1427288,4.95,172,Porsche,911,car,2014
18,18,1723655,4.84,54,BMW,X3,suv,2008
19,19,1347938,4.83,129,Chevrolet,Corvette,car,2017
20,20,124207,4.94,89,Tesla,Model 3,car,2018
21,21,950349,4.84,46,Toyota,Camry,car,2014
22,22,950349,4.78,41,Nissan,Sentra,car,2014
23,23,495552,4.97,52,Chevrolet,Cruze,car,2014
24,24,1582843,4.83,40,Toyota,Corolla,car,2017
25,25,464342,4.84,139,Chevrolet,Corvette,car,2017
26,26,3484421,4.92,69,Chevrolet,Camaro,car,2017
27,27,1582843,4.83,45,Mitsubishi,Mirage G4,car,2017
28,28,663789,4.77,34,Mazda,6,car,2006
29,29,1006943,5.0,59,Lexus,CT 200h,car,2014
30,30,464342,4.92,119,BMW,M4,car,2015
31,31,595685,4.85,60,Chevrolet,Camaro,car,2018
32,32,311958,4.95,35,Toyota,Camry,car,2017
33,33,950349,4.78,41,Toyota,Corolla,car,2013
34,34,6359397,4.77,47,Honda,Civic,car,2012
35,35,168282,4.97,69,BMW,3 Series,car,2017
36,36,3689861,4.87,26,Mitsubishi,Mirage,car,2017
37,37,1370302,4.88,99,Dodge,Challenger,car,2017
38,38,1427288,4.96,109,Porsche,Boxster,car,2013
39,39,1582843,4.85,40,Ford,Fiesta,car,2016
40,40,3689861,4.86,40,Toyota,Corolla,car,2014
41,41,731748,5.0,89,Mercedes-Benz,SLK-Class,car,2015
42,42,2541813,4.88,98,BMW,4 Series,car,2015
